Team,PA,AB,Hits,2B,3B,HR,BB,SO,BA,OBP,SLG,xSLG
Chicago White Sox,"5,869","5,383","1,187",226,9,133,395,"1,403",.221,.278,.340,.272
Cleveland Guardians,"5,927","5,310","1,263",245,18,185,466,"1,196",.238,.307,.395,.306
Cincinnati Reds,"5,970","5,325","1,230",257,29,174,496,"1,459",.231,.305,.388,.303
Washington Nationals,"5,971","5,374","1,306",267,18,135,456,"1,220",.243,.309,.375,.300
Los Angeles Angels,"5,975","5,357","1,227",227,15,165,482,"1,416",.229,.301,.369,.296
Kansas City Royals,"5,982","5,421","1,343",264,35,170,429,"1,161",.248,.306,.403,.307
Tampa Bay Rays,"6,006","5,389","1,241",245,23,147,493,"1,485",.230,.302,.366,.294
Detroit Tigers,"6,021","5,442","1,273",244,47,162,476,"1,461",.234,.300,.385,.299
Colorado Rockies,"6,026","5,454","1,319",277,25,179,453,"1,617",.242,.304,.400,.306
Oakland Athletics,"6,034","5,432","1,267",240,19,196,493,"1,502",.233,.301,.393,.303
Miami Marlins,"6,048","5,522","1,347",243,23,150,403,"1,410",.244,.300,.378,.296
Texas Rangers,"6,053","5,472","1,302",220,15,176,490,"1,284",.238,.305,.380,.300
Toronto Blue Jays,"6,060","5,410","1,306",280,26,156,510,"1,233",.241,.313,.389,.307
San Francisco Giants,"6,062","5,460","1,303",266,30,177,492,"1,452",.239,.305,.396,.305
Seattle Mariners,"6,066","5,329","1,195",228,13,185,571,"1,625",.224,.311,.376,.303
Atlanta Braves,"6,075","5,481","1,333",273,15,213,485,"1,461",.243,.309,.415,.315
Pittsburgh Pirates,"6,086","5,477","1,283",236,17,160,485,"1,506",.234,.301,.371,.295
San Diego Padres,"6,103","5,526","1,456",259,18,190,458,"1,077",.263,.324,.420,.324
Houston Astros,"6,107","5,530","1,448",264,16,190,448,"1,176",.262,.322,.418,.321
St. Louis Cardinals,"6,114","5,507","1,363",257,21,165,478,"1,318",.248,.312,.392,.307
Chicago Cubs,"6,116","5,441","1,318",253,29,170,546,"1,362",.242,.317,.393,.311
Minnesota Twins,"6,123","5,490","1,352",309,23,183,473,"1,306",.246,.315,.411,.316
Philadelphia Phillies,"6,166","5,534","1,423",285,24,198,515,"1,370",.257,.325,.425,.325
New York Mets,"6,166","5,510","1,357",279,15,207,514,"1,382",.246,.319,.415,.320
Milwaukee Brewers,"6,170","5,472","1,359",249,33,177,597,"1,459",.248,.326,.403,.319
Baltimore Orioles,"6,176","5,567","1,391",262,33,235,489,"1,359",.250,.315,.435,.324
Boston Red Sox,"6,192","5,577","1,404",311,30,194,493,"1,570",.252,.319,.423,.321
New York Yankees,"6,245","5,450","1,352",243,15,237,672,"1,326",.248,.333,.429,.331
Los Angeles Dodgers,"6,255","5,522","1,423",291,26,233,602,"1,336",.258,.335,.446,.337
Arizona Diamondbacks,"6,284","5,522","1,452",271,37,211,569,"1,265",.263,.337,.440,.337
